trial,score,ema_fast_1m,ema_slow_1m,ema_fast_3m,ema_slow_3m,ema_trend_long,atr_period_3m,atr_mult_stop,tp_rr,min_atr_pct,min_ema_gap_pct
1,-5.817296158355669,12,20,13,89,200,10,1.5,1.2,0.0018,0.0002
2,-2.0,12,20,34,55,150,10,1.5,1.2,0.0008,0.0008
3,-2.0,12,20,34,34,233,20,2.5,2.0,0.0012,0.0002
4,-15.388910928962844,9,26,13,34,233,14,2.0,1.5,0.0008,0.0002
5,-13.807925699100664,9,20,13,55,150,14,2.0,2.0,0.0012,0.0002
6,-2.0,12,30,34,34,200,10,2.5,1.5,0.0018,0.0008
7,-2.0,9,21,34,34,150,20,1.5,1.5,0.0008,0.0002
8,-20.457990162182504,7,30,21,55,233,14,1.5,1.5,0.0012,0.0002
9,-3.0786143369091956,12,26,34,89,233,10,2.5,2.0,0.0008,0.0008
10,-7.883126138275357,12,21,13,55,200,14,2.5,2.0,0.0018,0.0002
11,-9.82353120133851,12,26,13,34,150,14,2.0,1.5,0.0008,0.0002
12,-4.001180454943195,12,26,13,89,200,14,2.5,1.5,0.0008,0.0004
13,-5.146702100362623,7,21,34,89,233,14,2.5,2.0,0.0012,0.0008
14,-16.165533746264217,9,26,13,34,233,14,1.5,1.2,0.0008,0.0002
15,-3.8417133081343477,12,21,34,55,233,10,2.0,1.5,0.0018,0.0004
16,-2.0,12,26,34,34,233,20,1.5,2.0,0.0018,0.0004
17,-2.311865228197829,12,26,13,55,200,10,2.0,1.2,0.0018,0.0008
18,-2.0,9,21,34,34,233,14,2.5,2.0,0.0018,0.0002
19,-25.064576189055273,7,26,13,89,233,10,2.5,1.5,0.0012,0.0002
20,-3.8101019953773205,7,26,21,34,150,10,2.5,1.2,0.0008,0.0008
21,-2.0,9,20,34,34,150,20,2.0,2.0,0.0008,0.0004
22,-3.999757313127861,12,30,13,89,233,20,1.5,2.0,0.0012,0.0004
23,-4.66048473339363,12,26,21,89,200,10,1.5,1.2,0.0008,0.0004
24,-2.0,7,21,34,34,150,10,2.5,2.0,0.0008,0.0002
